ඒ.එච්.එම්.එච්. අබයරත්න
ප්‍රනාන්දු මෙරෙනගේ මොරිස් රස්කින්
ප්‍රනාන්දු මිහිඳුකුලසූරිය ජූලියන් ජෝශප්
ප්‍රනාන්දු නිකලස් ඩෙන්සිල්
ප්‍රනාන්දු සිරික්කත්තුගේ නෙවිල් ආතර්
ප්‍රනාන්දු තන්තුලගේ විලියම්
ප්‍රනාන්දු තෝමස් ක්වින්ටින්
ප්‍රනාන්දු ටිරෝන් ලයිල් ඩෙලානෝ
ප්‍රනාන්දු වර්ණකුලසූරිය ඉච්චම්පුල්ලිගේ හියු
ප්‍රනාන්දු වර්ණකුලසූරිය තෙරේස් ඉවෝන් ශ්‍රියානි
ප්‍රනාන්දු වරුෂාහැන්නදිගේ ලියෝ
ප්‍රනාන්දු වත්තගේ ඉතාලිස්
ප්‍රනාන්දු වීරහැන්නදිගේ තියඩෝර් විල්ෆ්‍රඩ් මෙරිල්
ප්‍රනාන්දුපුල්ලේ කැනීසියස් ජෙයරාජ්
ෆීල්ඩ් මාර්ෂල් සරත් ෆොන්සේකා
ෆොන්සේකා ගාමිණී
ෆොන්සේකා ගම්පොලගේ පත්මින්
ෆොන්සේකා හේවාෆොන්සේකාගේ ඔගස්ටිනු
ෆොන්සේකා වන්නිආරච්චිගේ මාර්ටිනස් බිබිලේ
ෆෝබ්ස් ඔස්වල්ඩ් බොයිඩ් (කර්නල්)
ෆ්‍රැන්සිස්කු තෝමරත්න දොන්
ෆ්‍රීමන් හර්බට් රේනර්
ගද්දුම් රෙජිනෝල්ඩ් පර්සි
ගජධීර විදානේආරච්චිගේ චන්ද්‍රසිරි බෑන් කරයි
ගලප්පත්ති ජස්ටින්
ගලප්පත්ති අහංගම පොල්වත්තේ චන්ද්‍රදාස
ගලප්පත්ති පීටර් සිල්වා ලොකු
ගමගේ ලාල් ධර්මප්‍රිය
ගමලත් සිරිපාල
ගමමැදලියනගේ ජෝශප් ලලිත් නියෝමාල් පෙරේරා
ගාමිණී ජයවික්‍රම
ගාමිණී කුලවංශ ලොකුගේ
ගාමිණී ලක්ෂ්මන් පීරිස්
ගාමිණී වලේබොඩ
ගනේෂන් ප්‍රභා
ගනේෂලිංගම් පූපාලපිල්ලේ
ගනේෂමූර්ති සෝමසුන්තරම්
ගන්කන්ද මුහන්දිරමලාගේ චන්ද්‍රසේකර
ගයාෂාන් නවානන්ද
ගීතා සමන්මලී කුමාරසිංහ
ගෙවිඳු කුමාරතුංග
ඝානි යූ.එල්.එම්. හනීෆා මාතුර්
ගීතාංජන රූපසිංහ ගුණවර්ධන
ඥානමුත්තු ක්‍රිෂ්ණපිල්ලෙයි
ඥානමුත්තු ජෝසප් අයිසැක්
ගොඩගේ සිරිමෙවන්
ගුණරත්න කොඩිතුවක්කු දොන්
ගුණසිංහ ඇලෙක්සැන්ඩර් ඒකනායක
ගුණවර්ධන ගනේගම ලියනගේ සරත්
ගුණවර්ධන ලෙස්ලි සයිමන්
ගුණරත්න ක්ලෙමන්ට් වික්ටර්
ගුණසේකර දොන් සැමුවෙල්
ගුණසේකර හෙන්රි අබේවික්‍රම
ගුණවර්ධන පරාක්‍රම බන්දුල
ගුණවර්ධන චොල්මන්ඩ්ලි ද ෆොන්සේකා
ගුණවර්ධන වයලට් විවියන්
ගොපල්ලව මොයිත්‍ර චූඩබණ්ඩා
ගොපල්ලව විජේසුන්දර වික්‍රමසිංහ පණ්ඩිතරත්න වාසල මුදියන්සේ රාළහාමිලලාගේ අනුර
Gratiae Edward Fredrick Noel
ග්‍රිෆිත් ෆ්‍රැන්සිස් හන්ට්ලි
ගුණරත්න ජෝන් සරත්චන්ද්‍ර
ගුණරත්න කළුපතිරන්නැහැලගේ දොන් උපාලි
ගුණසීලන් අලහිපොඩි
ගුණසේකරම් මාර්කණ්ඩු ෂංගර්
ගුණසේකර ඩැනියෙල් ඩයස්
ගුණසේකර දිසානායක මුදියන්සේලාගේ
ගුණසේකර ගමගේ දොන් ප්‍රේමරත්න
ගුණසේකර හඳපාන්ගොඩ මුදලිගේ චන්ද්‍රපාල
ගුණසේකර ජයලත්ගේ ඥානසේකර
ගුණසේකර කේසරලාල්
ගුණසේකර ලයනල් ද සිල්වා අබේවීර
ගුණසේකර මහේන්
ගුණසේකර ප්‍රින්ස්
ගුණසේකර රණසිංහ හෙට්ටිආරච්චිගේ ටියුඩර් එඩ්වඩ් ආර්.
ගුණසේකර රත්නායක මුදියන්සේලාගේ
ගුණසේකර සෙනරත් ගුණසේකර විදානේරලාලාගේ බෙනට් ඩයස්
ගුණසේකර සුනීතා ලක්ෂ්මන්
ගුණසිංහ කළුආරච්චිගේ නන්දදාස
ගුණතිලක රාජපක්ෂ
ගුණතිලක මෙත්සියගේ දොන් ආරියපාල
ගුණතිලක ඩී.නන්දන
ගුණවර්ධන චන්ද්‍රකුමාර විජය
ගුණවර්ධන නානවීර අප්පුහාමිලාගේ ලෙස්ලි හර්බට්
ගුණවර්ධන අමර ඉන්දික රූපසිංහ
ගුණවර්ධන බමුණු ආරච්චි පතිරන්නැහැලගේ ලයනල්
ගුණවර්ධන දොන් බෙන්ජමින් රූපසිංහ
ගුණවර්ධන දොන් පිලිප් රූපසිංහ
ගුණවර්ධන කුසුමසිරි
ගුණවර්ධන රත්නකීර්ති සෙනරත් සේරසිංහ
එච්.එම්.එම්.හැරීස්
එච්.නන්දසේන
එච්.ආර්. මිත්‍රපාල
එච්.එම්. පියල් නිශාන්ත ද සිල්වා
එච්.ආර්.එස්. දුෂ්මන්ත
හෆ්රත් අහමඩ් ලෙබ්බේ මොහොමඩ්
හල්කන්දලිය ලේකමලාගේ ප්‍රේමලාල් ජයසේකර
හමීඩ් අබ්දුල් කාදර් ෂාහුල්
හපන්ගම අනුර ප්‍රදීප්
හපු ආරච්චිගේ කෝසල නුවන් ජයවීර
හපුතන්ත්‍රී ගමගේ සාගර කාරියවසම්
හරිස්චන්ද්‍ර මුරමුදලි ආරච්චිලාගේ පියදාස
හීන් බණ්ඩාර බමුණුසිංහ ආරච්චිගේ
හේමචන්ද්‍ර කල්‍යාණරත්න
හේමකුමාර වික්‍රමතිලක නානායක්කාර
හේමාල් ගුණසේකර
හේනගොඩ විතානච්චිගේ තිලකරත්න
හේරත් මුදියන්සේලාගේ චරිත හේරත්
හේරත් මුදියන්සේලාගේ ලකී දිසානායක ජයවර්ධන
හේරත් රාලලාගේ ජයතිලක පොඩිනිලමේ
හේරත් ගනේ ආරච්චිලාගේ මහීපාල
හේරත් හේරත් මුදියන්සේලාගේ ඩිංගිරි බණ්ඩා
හේරත් හේරත් මුදියන්සේලාගේ නන්දසේන
හේරත් හේරත් මුදියන්සේලාගේ තිලකරත්න බණ්ඩා
හේරත් ජේම්ස් එඩ්වඩ් හැරල්ඩ්
හේරත් කළුකුමාර වන්නිනායක රංගේ බණ්ඩාරලාගේ කවිසේන
හේරත් කිරින්දේ මුදියන්සේලාගේ නිමල්
හේරත් මෛත්‍රීපාල
හේරත් සිරිසේන බණ්ඩාර
හේරත් සිවුරත්න යාපබණ්ඩාර සේමසිංහ බණ්ඩාර (ආචාර්ය)
හේරත් ටිකිරි බණ්ඩා මුදියන්සේලාගේ
හේරත් වන්නිහාමි යසපාල
හෙට්ටිආරච්චි දොන් ෆ්‍රෑන්ක්
හෙට්ටිආරච්චි ඉන්ද්‍රදාස
හෙට්ටිගේ සිරිසේන
හේවා ගජමන් පත්තිනිගේ නෙල්සන්
හේවාවිතාරණ නීල්
හේවාවිතාරණ රාජා
හිරුණිකා එරංජලී ප්‍රේමචන්ද්‍ර
හන්ටර් ලුවී ලුෂන්
හුරුල්ලේ එඩ්වින් ලොකු බණ්ඩාර
හුරුල්ලේ තේමිය ලොකු බණ්ඩාර
Hussain Ahamed Bhaila
ඊබ්‍රාහිම් මුහම්මදු මුහම්මදු මන්සූර්
ඉදිප්පුලි ආරච්චිගේ දොන් චන්ද්‍රසේන වීරසේකර
ඉහල මැදගම ගමගේ පියසේන
ඉහලක් කංකානමලගේ මහින්ද රත්නතිලක
ඉලංගකෝන් ක්‍රිස්ටෝෆල් පානිනී
ඉලංගරත්න තමරා කුමාරි
ඉලංගරත්න ටිකිරි බණ්ඩාර
ඉලංගතිලක ජෝන් හර්බට්
ඉලියාස් ඉඩ්රූස් මොහොමඩ්
ඉමාන් රසින් මොහොමඩ්
ඉඹුලාන ප්‍රේම චන්ද්‍ර
ඉමිටියාස් බාකීර් මාකර්
ඉන්දික අනුරුද්ධ හේරත්
ඉන්දික බණ්ඩාරනායක
ඊරියගොල්ල ඉමිය මුදියන්සේලාගේ රෆායෙල් අභයවංශ
ඉරුතයනදන් චාල්ස් නිර්මලනාදන්
ඉෂාක් මොහොමඩ් හලීම්
ඉස්මයිල් මොහොමඩ් කුද්දස්
ඉස්මයිල් හමීඩ් හුසේන් ෂෙයික්
ඉසුරු දොඩංගොඩ
අයියෝබ් මරිකාර් නාගූරන්
ජේ.ඒ. මේරි ලුසිඩා
ජේ.ආර්.පී. සූරියප්පෙරුම
ජබ්බාර් කුඩූස් ඛාන් අබ්දුල්
Jafferjee Saiffudeen Ibrahim
ජගත් කුමාර සුමිත්‍රආරච්චි
ජගත් පුෂ්පකුමාර
ජගත්සේන මාදුව හේවා කුසුමචන්ද්‍ර
ජලල්ඩීන් මොහොමඩ් අලියාර් මොහොමඩ්
ජනදාස පීරිස්
ජනක බණ්ඩාර තෙන්නකෝන්
ජානක වක්කුඹුර
ජයා තුවාන් බ්‍රහනුදීන්
ජයකොඩි ජයකොඩි ආරච්චිගේ දොන් සුනිල් රන්ජන්
ජයකොඩි ජයකොඩි ආරච්චිගේ ලක්ෂ්මන්
ජයකොඩි කමලවර්ණ කුමාරසිංහ
ජයකොඩි පර්සි චන්ද්‍රසෝම
ජයලත් ජයවර්ධන
ජයමහ ජයමහ මුදලිගේ දොන් හෙන්රි නිකලස්
ජයම්පති වික්‍රමරත්න
ජයන්ත ජයවීර
ජයන්ත වීරසිංහ
ජයරත්න හේරත්
ජයරත්න සිල්වා දැඩිමුණි රොබට්
ජයසේන ලොකු බාලසූරියගේ
ජයසිංහ විජයමුණිදේවගේ අතුල නිමල්සිරි
ජයසිංහ බණ්ඩාර
ජයසිංහ මුදියන්සේලාගේ ජානක ප්‍රියන්ත බණ්ඩාර
ජයසිංහ අප්පුහාමිලාගේ ආරියවංශ එල්ලක්කල
ජයසිංහ ධර්මදේව
ජයසිංහ ඩොනල්ඩ් ෂෙල්ටන්
ජයසිංහ නානායක්කාර අටුළුගමගේ ස්ටීවන් ද සිල්වා
ජයසිංහ යකුපිටියේ ගුණතිලක
ජයසූරිය ඇලෙක්සැන්ඩර් පෙරේරා
ජයසුන්දර මුදියන්සේලාගේ ආනන්ද කුමාරසිරි
ජයසුන්දර ජේ.එම්.එම්.ඩබ්ලිව්. ලොකු බණ්ඩා
ජයසුන්දර ටිකිරි බණ්ඩා
ජයසුන්දර විල්ෆ්‍රඩ් හෙක්ටර් ද සිල්වා
ජයසූරිය ආරච්චිගේ දොන් තොරණ (ගේට් මුදලියාර්)
ජයසූරිය බර්නාඩ්
ජයසූරිය බොනී
ජයසූරිය ගාමණී නන්ද
ජයතිලක දොන් බාරොන් (සර්)
ජයතිලක රොබට් එඩ්වඩ්
ජයතිලක ජයතිලක හිටිහාමි අප්පුහාමිලාගේ ආරියරත්න
ජයතිලක ලයනල්
ජයවර්ධන තියඩෝර් ගොඩ්ෆ්‍රි (කර්නල්)
ජයවර්ධන මහබලගේ දොන් හෙන්රි
ජයවර්ධන අත්තනායක මුදියන්සේලාගේ
ජයවර්ධන පෝලිස් පීරිස්
ජයවර්ධන වින්සන්ට්
ජයවික්‍රම දුනුවිල් හර්බට්
ජයවික්‍රම වෝල්ටර් ජෙෆ්රි මොන්ටේග්
ජයවර්ධන මොහාන්දිරංගේ දොන් සයිමන්
ජයවර්ධන ජූනියස් රිචඩ්
ජයවර්ධන තියඩෝර් ෆෙඩ්රික්
ජීවන් කුමාරතුංග
ජෙයක්කොඩි කන්දප්පා
ජිනදාස අදිකාරි මුදියන්සේලාගේ
ජිනදාස පිලානේ ලොකුගේ
ජිනදාස සූරියසේන
ජිනදාස උඩගම පහළ යමනලෙගෙදර
ජිනදාස විදාන ගමගේ
ජිනසේන ලංකාබරනගේ බෝපාල් සුධීර
ජෝන් සෙනෙවිරත්න
ජොන්ස්ටන් ප්‍රනාන්දු
ජොන්ක්ලාස් වර්නන්
ජෝශප් මයිකල් පෙරේරා
ජෝසප් පරරාජසිංහම්
ජෝතිපාල මද්දුම පටබැඳිගේ
K. P. S. කුමාරසිරි
කච්චකඩුගේ නලින් රුවන්ජිව ප්‍රනාන්දු
Kadramer Robert Bruce
කෛලායපිල්ලේ වේලාවුතන්
කලඳුගොඩ කංකානම්ගේ පියදාස
Kaleel Mohamed Cassim Mohamed
කළුගල්ල ඉඩම්පිටියේ රැල්ලගේ පුංචි බණ්ඩා ගුණතිලක
කමලා රණතුංග
කමර්ඩීන් අබ්දුල් බයිස්
කනගරත්නම් කන්දයියා
කනගසබායි තන්මන්පිල්ලේ
කනහරාජ් කනපති
කනක හේරත්
කාංචන විජේසේකර
කන්දයියා පොන්නම්බලම්
කන්දයියා වේලුපිල්ලේ අම්බලවානර්
කන්නන්ගර චාල්ස් නිශ්ශංක
කන්නන්ගර ක්‍රිස්ටෝපර් විලියම් විජේකෝන් (ආචාර්ය)
කන්නන්ගර දොන් ක්‍රිස්ටෝපර් විජේසිංහ
කන්නන්ගර අයිරින් විමලා (මිය)
කන්නන්ගර රිචඩ් චාල්ස්
කපුකොටුව ගාමිණී තිස්ස
කරලියද්ද විජේරත්න ටිකිරි බණ්ඩා
කරල්ලියද්ද සෙනෙවිරත්න බණ්ඩා
කාරියප්පර් මොහොමඩ් ඉබ්‍රාලෙබ්බේ මුහම්මද් සම්සුදීන්
කාරියවසම් දෙවරකෝට්ටේගේ මෙරිල් විජේසේන
කාරියවසම් හපුතන්ත්‍රී ගමගේ ඇල්බට්
කාරියවසම් හපුතන්ත්‍රී ගමගේ නොයෙල් පද්මසිරි
කරු ජයසූරිය
කරුණාදාස කොඩිතුවක්කු
කරුණානායක කමල්
කරුණාරත්න පරණවිතානගේ
කරුණාරත්න අමරකෝන් චන්ද්‍ර
කරුණාරත්න චන්ද්‍රතිලක
කරුණාරත්න මහාමායා සමන්ත දෙව්
කරුණාරත්න මෙනේරිපිටිය අප්පුහාමිලාගේ දොන් ඩේවිඩ්
කරුණාරත්න නුවරපක්ෂ හේවායලාගේ අශෝක මහානාම
කරුණාරත්න රණවක ආරච්චිගේ තිලක් මහේන්ද්‍ර ජයතිලක
කරුණාරත්න රත්නායක මුදියන්සේලාගේ
කරුණාරත්න වෙලේ තන්තිරි ගුරුන්නාන්සේලාගේ
කරුණාරත්න වනසිංහ මුදියන්සේලාගේ
කරුණාසේන වන්නි ආරච්චිගේ
කරුණාතිලක ලොකුගමගේ රූපසේන
කරුණාතිලක නිමල්
කරුප්පයියා වේලායුදම්
කතිරවේලුපිල්ලේ සිවසුබ්‍රමනියම්
කත්‍රිආරච්චි චන්දන
කවිරත්න රත්නායක මුදියන්සේලාගේ පුංචි බණ්ඩා
කීර්තිරත්න ඩබ්ලිව් කේ එම් සරත් විජිතකුමාර
කීර්තිරත්න නුවරපක්ෂ හේවායාලේ
කෙහෙළිය රඹුක්වැල්ල
කැටගොඩ ගමගේ ජයන්ත පෙරේරා
කෙනමන් පීටර් ජෙරල්ඩ් බර්තොලමියස්
කිඩිනන් සිවනේසන්
කිංස්ලි ආරියරත්නම් රසනායගම්
කිරිබණ්ඩා කෝනාර මුදියන්සේලාගේ වත්තේගෙදර
කිරිඇල්ල ආතර් එමානුවෙල් බණ්ඩාර
කිරිඇල්ල ලෙනාඩ් පෙන්රින් බණ්ඩාර (ආචාර්ය)
කිතුලගොඩ ජිනදාස
කොබ්බෑකඩුව හෙක්ටර් සෙනරත් රාජකරුණා බණ්ඩා
කෝච් රොස්ලින්
කොඩිතුවක්කු ආරච්චිගේ කරුණාසේන
කෝකිලා හර්ෂනී ගුණවර්ධන
කොණ්ඩගමගේ මොහාන් ලාල් ග්‍රේරු
කෝන්ගහගේ උපාලි සරත්
කොතලාවල දොන් හෙන්රි (සර්)
කොතලාවල ජෝර්ජ්
කොතලාවල ග්ලැඩ්වින් කොන්රාඩ් හර්මන්
කොතලාවල ජේම්ස් කොර්නේලියස් තෝමස්
කොතලාවල ජෝන් ලයනල් (ජනරාල් ආර්. ගරු සර්)
කෝවින්දන් කරුණාකරම්
කුගේන්ද්‍රන් කාර්තිකේසු වෙළුම්මයිලුම් (ජෙගන්)
කුලප්පු ආරච්චිගේ දොන් ධම්මික පෙරේරා
කුලරත්න කඩුකන්නගේ ආනන්ද
කුලරත්න හිරිපිටියගේ
කුලරත්න මර්වින්
කුලරත්න පැට්‍රික් ද සිල්වා
කුලසිංහම් තිලීපන්
කුලතුංග දිසානායක මුදියන්සේලාගේ චන්ද්‍රානි ඔෆීලිය බණ්ඩාර
කුලතිලක අත්තරගමගේ රාජපක්ෂ
කුලතිලක සේමගේ සල්මන්
කුමාර වෙල්ගම
කුමාරදාස ජයසුන්දර මුදියන්සේලාගේ
කුමාරගේ දොන් රංජිත් නන්දා
කුමාරසිංහ ශ්‍රීනාත් ලාලක
කුමාරසිරි රත්නායක
කුමාරසිරි ප්‍රේමලාල්
කුමාරසුරියර් චෙල්ලයියා
කුමාරස්වාමි වේලුපිල්ලේ
කුමාරතුංග චන්ද්‍රිකා බණ්ඩාරනායක
කුමාරවේලු කරුප්පයියා
කුරුකුලරත්න දළුවත්ත හේවා බුද්ධික සරත්
කුරුප්පු ජයවීර
කුරුප්පුආරච්චි කුරුප්පුආරච්චිලාගේ විල්සන්
එල් කේ ජගත් ප්‍රියංකර
එල්.ජී. වසන්ත පියතිස්ස
ලක්ෂ්මන් ආනන්ද විජේමාන්න
ලක්ෂ්මන් කදිරගාමර්
ලක්ෂ්මන් කිරිඇල්ල
ලක්ෂ්මන් පින්තු ජයතිලක සෙනෙවිරත්න
ලක්ෂ්මන් යාපා අබේවර්ධන
ලලිත් දිසානායක
ලලිත් එල්ලාවල
ලීලාරත්න හෙට්ටිආරච්චිගේ දොන් ලූටස්
ලෙනව වනසිංහ රාජපක්ෂ සේනානායක සෙනෙවිරත්න බණ්ඩාර
ලෙනෝරා රොබෝලේජ් බාන්ස් (ආචාර්ය)
ලියෝ අකුරුද්දලියනගේ දොන් ජෝන් ලාසරස්
ලියනගේ හීන්මහත්මය උඩගම
ලොහාන් රත්වත්තේ
ලොකුබණ්ඩා හේරත් මුදියන්සේලාගේ ආරියවර්ධනගේ
ලොකුබණ්ඩාර විජේසිංහ ජයවීර මුදියන්සේලාගේ
ලයි බාබා සිහියේරේ
එම්.ජී වීරසේන
එම්.නන්දිමිත්‍ර ඒකනායක
එම්. එස්. තව්ෆීක්
එම්. ඩබ්ලිව්. ඩි. සහන් ප්‍රදීප් විතාන
එම්.බී. මොහිදීන් අබ්දුල් කාදර්
එම්.එම්. පේමසිරි මානගේ
මඩවල ගොඩ්ෆ්‍රි එඩ්වඩ්
මධුර විතානගේ
මහාදේව අරුණාචලම් (සර්)
මහදිඋල්වැව සෙනෙවිරත්න හේරත්
මහලේකම් මහලේකම් මුදියන්සේලාගේ තිලකරත්න බණ්ඩාර
මහාලිංගම් කනගලිංගම් ශිවාජිලිංගම්
මහරුෆ් මොහොමඩ් එහුත්තාර් හඩ්ජියාර්
මහරුෆ් මොහොමඩ් ෂාම්
මහේෂ්වරන් විජයකලා
මහේෂ්වරන් ත්‍යාගරාජා
මහීපාල හේරත්
මහින්ද බුද්ධදාස සමරසිංහ
මහින්ද රාජපක්ෂ
මහින්ද විජේසේකර
මහින්ද යාපා අබේවර්ධන
මහින්දසෝම ගමගේ දොන්
මහමුද් බදියුදීන් (ආචාර්ය අල් හජ්)
මයිල්වාගනම් උදයකුමාර්
මෛත්‍රීපාල සිරිසේන
මජීඩ් මීරාසාහිබු
මේජර් සුදර්ශන දෙනිපිටිය
මාලනී ෆොන්සේකා
මලවාරආරච්චි දොන් එඩ්වින්
මාලිගස්පේ කෝරළේ නලින් මනුෂ නානායක්කාර
මලික් සමරවික්‍රම
මලිත් ජයතිලක
මල්ලිකා ලක්ෂ්මි ද මෙල්
මල්ලිමාරච්චි වීරසිංහ
මංගල සමරවීර
මානිකාවාසගම් පොන්නයියා
මාණිකාවාසගර් කනගසබාපති ඊලවෙන්තන්
මානික්කරාජා සුප්‍රමානියන් මයිල්වාගනම්
මානික්ක වඩු රිචඩ් ද සිල්වා
මංජුල දිසානායක
මනෝජ් ප්‍රසංග හේවාගම්පලගේ
මන්තිලක චිත්‍රා ශ්‍රීමතී
මරික්කාර් කැසිලමරික්කාර් අබ්දුල් සමාඩ්
මාරිමුත්තු කතන්
මාටින් සිරිලස් සේවියර්
මරුදපාණ්ඩි රාමේෂ්වරන්
මැතිව් කළුදේවගේ නන්ද
මැතිව් කලුවාදේවගේ සිරිල්
මැතිව් එඩ්ලි වින්ස්ටන්
මාවයි සෝමසුන්තරම් සේනාධිරාසා
මාවැල්ලගේ කීර්ති සුරංජිත්
මයන්ත යස්වන්ත් දිසානායක
මැද්දගම අජිත් කුමාර
මැදිවක මුතු බණ්ඩා වීරසේකර
මීදෙණිය ඇඩිගාර් ජෝන් හෙන්රි
මීරා මොහිදීන් මොහොමඩ් මුස්තෆා
මෙන්ඩිස් මෙරෙන්ග්නා ගෝලියස්
මෙන්ඩිස් තේනහන්දි විජයපාල හෙක්ටර්
මර්වින් සිල්වා
මර්සා අබ්දුල් මජීඩ්
මිල්රෝයි ප්‍රනාන්දු
තංගේශ්වරි කතිරාමන් මෙනවිය
මොහොමඩ් අබ්දුල් බාකීර් මාකර්
මොහොමඩ් අබ්දුල්ලා මොහොමඩ් මහරුෆ්
මොහොමඩ් කාසිම් මොහොමඩ් ෆයිසාල්
මොහොමඩ් ෆලීල් මර්ජන් අස්මි
මොහොමඩ් හනීෆා මොහොමඩ් නවාවි
මොහොමඩ් හනිෆා මොහොමඩ්
මොහොමඩ් හෂීම් අබ්දුල් හලීම්
මොහොමඩ් ඉස්මයිල් අන්වර් ඉස්මයිල්
මොහොමඩ් ජබීර් අබ්දුල් කාදර්
මොහොමඩ් මහරුෆ්
මොහොමඩ් ෂෆීක් රාජාබ්දීන්
මොහොමඩ් තම්බි හසන් අලි
මොහොමඩ් මොහොමඩ් ඉසාඩීන්
මොහාන් ප්‍රියදර්ශන ද සිල්වා
මොහිදීන් බාවා අබ්දුල් අසීස්
මොහිදීන් උතුමා ලෙබ්බේ මොහොමඩ්
මොහොමඩ් මුසම්මිල්
මොහොමඩ් හෆීල් මොහොමඩ් සල්මාන්
මොහොමඩ් උවයිස් මොහොමඩ් අලි සබ්රි
මොලමුරේ ඇඩ්ලින් (මිය)
මොලමුරේ ඇලෙක්සැන්ඩර් ෆ්රැන්සිස්
මොලමුරේ ඇලෙක්සැන්ඩර් ෆ්රැන්සිස් (සර්)
මොල්ලිගොඩ ලියනගේ ස්ටැන්ලි සුමනරත්න
මොන්නකුලමේ එම්.එස්.බී.ටී.බී.ධර්මසේන බණ්ඩාර
මූණසිංහ අනිල් කුමාර
මූණසිංහ මංගල නාත්
මූණසිංහ සුසිල් කුමාර
මොරගොඩ අශෝක මිලින්ද
මෝතා ජෝර්ජ් රොසයිරෝ
අමරා පියසීලි රත්නායක මිය
බිෂජාචාර අලහකෝන්ලාගේ සුජාතා අලහකෝන් මිය
පත්මිණි සිතම්පරනාදන් මහත්මිය
වර්ණකුලසූරිය මේරි ලැරින් පෙරේරා මහත්මිය
මුදිතා ප්‍රිශාන්ති
මුහම්මතු සාලි නලීම්
මුහුදුගම හේවගේ ගුණරත්න වීරකෝන්
මුණසිංහ (මේජර් ජෙනරාල්) සරත්චන්ද්‍ර ප්‍රේමලාල්
මුණසිංහ ආනන්ද තිලකසිරි මොහොට්ටි
මුණසිංහ වැලිකල ජේම්ස් චාල්ස්
මුණවීර චන්ද්‍රසේන
මුන්සූර් අබ්දුල් රසාක්
මරේ ජෝන් රෝස්
මුරුගන් සචිතානන්දන්
මුරුගේසු සිවසිතම්පරම්
මුස්තාපා මීරාලෙබ්බේ පොඩ්ඩි මොහොමඩ්
මුත්තලි බාවා ෆාරුක්
මුත්තු සංගරලිංගම් සෙල්ලසාමි
මුතුබණ්ඩා පහුරේගෙදර
මුතුබණ්ඩා සමරසිංහ ආරච්චිලාගේ
මුත්තෙටුවේගම සරත්චන්ද්‍ර
එන්.නාලක බණ්ඩාර කෝට්ටේගොඩ
එන්.ඩී.එන්.පී. ජයසිංහ
එන්.ඩබ්ලිව්.එම්. ජයන්ත විජේසේකර
නඩරාජා මතරාජා
නඩරාජා රවිරාජ්
නඩරාජා අත්පුතරාජා
නඩරාජා කන්දපුල්ලේ වේළුපිල්ලේ
නාගනාදන් එලංගෙයි මුරුගේසු විජයරත්නම් (ආචාර්ය)
නයිනා මරික්කාර් මොහොමඩ් හනිෆා මොහොමඩ්
නාලක ගොඩහේවා
නාලක ජූඩ් හරීන් ප්‍රනාන්දු
නාලක ප්‍රසාද් කොලොන්නේ
නල්ලයියා වල්ලිපුරම්
නානායක්කාර ඒලියන් මහානාග
නානායක්කාර විතානගේ ටර්ජින්
නන්දලෝක හිමි පූජ්‍ය. අලව්වේ
නන්දසේන මාලිගස්පේ කෝරළගේ ජිනදාස
නටේසා අයියර් කෝදන රාමයියාර්
නටේසන් සුබයියා
නවුෂාඩ් අබ්දුල් මජීඩ් මොහොමඩ්
නවරත්නම් කන්දයියා
නවරත්නම් වෛතිනාතර්
නවරත්නම් වල්ලිපුරම් නල්ලතම්බි
නවරත්න නවරත්න හේනයාලාගේ සිංගප්පුලිගේ රංජිත්
නවරත්න හේරත් මුදියන්සේලාගේ
නේමිනාදන් බාලසුබ්‍රමනියම්
නෙරංජන් වික්‍රමසිංහ
නිව්න්හැම් හියුබට් අර්නස්ට්
නිමල් පියතිස්ස
නිමල් සිරිපාල ද සිල්වා
නිපුන රණවක
නිර්මල කොතලාවල
නිරෝෂන් පෙරේරා
නිරූපමා දීපිකා රාජපක්ෂ
නිශාන්ත දීපාල් ගුණසේකර
නිශාන්ත මුතුහෙට්ටිගමගේ
නිශ්ශංක මනෝධ විජයරත්න
නියතපාල පොල්තුට්ටුවේ ආරච්චිගේ ජිනදාස
නූර්දීන් මෂූර්
නුගවෙල දිසාව පුංචි බණ්ඩා
නුගවෙල එඩ්වඩ් ඇලෙක්සැන්ඩර් (මේජර්)
ඔබේසේකර ජේම්ස් පීටර්
ඔබේසේකර සිවගාමි වෙරිනා (මිය)
ඔබේසේකර ෆොරෙස්ටර් ඔගස්ටස්
ඔබේවංශ කාලිංග
ඕමල්පේ සෝභිත හිමි
පී.එච්.පී. පියසේන
පලන්සූරිය කලලෑල්ලේ ආනන්ද සාගර
පාලිත කුමාර තෙවරප්පෙරුම
පානබොක්කේ තියඩෝ බ්‍රේබෲක්
පානබොක්කේ ටිකිරි බණ්ඩා (සර්)
පරරාසසිංහම් එල්ලයතම්බි
පැස්කුවල් දයාසේන ටර්නෝලියස්
පතිරගේ දොන් අබේරත්න
පතිරණ ජය
පතිරණගේ බෙන්තොට රිචඩ් ද සිල්වා
පද්මනාදන් කනගසබයි
පද්මනාදන් රංගනායකී (මිය)
පේදුරු හේවගේ ලයනල් ප්‍රේමසිරි
පීරිස් මල්වත්තගේ නිමල් රන්සිරි
පීරිස් මල්වත්තගේ සයිමන් ඇන්ඩෘ
පීරිස් ජයසූරිය මහතෙල්ගේ ජෝන් යූසස්
පීරිස් මහතෙලගේ හෙන්රි
පෙලිස්ජ් හැරිසන්
