ඒ.එච්.එම්.එච්. අබයරත්න
සමන්මලී ගුණසිංහ
සඳරුවන් මදාරසිංහ
සංජීව රණසිංහ
සරත් කුමාර
සරෝජා සාවිත්‍රි පෝල්රාජ්
ශානකියන් රාජපුතීරන් රසමානික්කම්
ශාන්ත පත්ම කුමාර සුබසිංහ
සිවඥානම් ශ්‍රීදරන්
ස්ටෙප්නි ප්‍රනාන්දු
සුදත් බලගල්ල
සුගත් තිලකරත්න
සුගත් වසන්ත ද සිල්වා
සුජීව දිසානායක
සුජිත් සංජය පෙරේරා
සුන්දරලිංගම් ප්‍රදීප්
සුනිල් බියන්විල
සුනිල් හඳුන්නෙත්ති
සුනිල් කුමාර ගමගේ
සුනිල් රාජපක්ෂ
සුනිල් රත්නසිරි
සුනිල් වටගල
සුරංග රත්නායක
සුසන්ත දොඩාවත්ත
සුසන්ත කුමාර නවරත්න
සුසිල් රණසිංහ
ටී බී සරත්
ටී.කේ.ජයසුන්දර
තනුර දිසානායක
තිලංක යූ.ගමගේ
තිළිණ සමරකෝන්
තුරෙයිරාසා රවිකරන්
තුෂාරි ජයසිංහ
යූ.පී.අබේවික්‍රම
උපාලි පන්නිලගේ
උපාලි සමරසිංහ
උපුල් කිත්සිරි
වී.එස්. රාධක්‍රිෂ්ණන්
විජිත හේරත්
ඩබ්ලිව්.එච්.එම් ධර්මසේන
වරුණ ලියනගේ
වසන්ත පියතිස්ස
වසන්ත පුෂ්ප කුමාර
වසන්ත සමරසිංහ
විජේසිරි බස්නායක
අජිත් කුමාර මාන්නප්පෙරුම
ඒ අලගියවන්න ලසන්ත
ඒ. අරවින්ද් කුමාර්
ඒ.ඒ. අප්පුහාමිලගේ දොන් සෝමදාස ගුණවර්ධන මුණසිංහ කාරියවසම්
ඒ.ඒ. රන්ජන් ලියෝ සිල්වෙස්ටර් රාමනායක
ඒ.ඒ. විජේතුංග
ඒ.එච්.එම්. අස්වර්
අබයගුණසේකර අහංගම විතානගේ ඔස්වින් නන්දිමිත්‍ර
අබයකෝන් දිමුතු බණ්ඩාර
අබ්දුල් අලි සබ්රි මොහොමඩ් රහීම්
අබ්දුල් කාදර් ඒ.ආර්.එම්
අබ්දුල් කෆූර් මොහොමඩ් ෆාලිල්
අබ්දුල් හලීම්
අබ්දුල් හමීඩ් මොහොමඩ් ෆවුසි
අබ්දුල් මජීඩ් අබ්දුල් ලතීෆ්
අබ්දුල් මජීඩ් මොහොමඩ් ඉස්මයිල්බේ මොහොමඩ්
අබ්දුල් මජීඩ් මොහොමඩ් නජීබ්
අබ්දුල් මජීඩ් මොහොමඩලි අහමඩ්
අබ්දුල් මජීඩ් සෙයිඩ් අහමඩ්
අබ්දුල් රහ්මාන් අන්ජාන් උම්මා
අබ්දුල් රහුමාන් ඉෂාක්
අබ්දුල් රවුෆ් අබ්දුල් හෆීස්
අබේගුණසේකර එඩ්වින් විල්ෆ්‍රඩ්
අබේගුණසේකර ජෝර්ජ් හෙක්ටර්
අබේදීර හැරී
අබේගුණවර්ධන විජේසේකර දොන් සයිමන්
අබේගුණවර්ධන හෙන්රි ඩයස්
අබේගුණසේකර දිල්ෂාඩ් රොහාන් තිස්ස
අබේකෝන් අබේකෝන් මුදියන්සේලාගේ මහින්ද
අබේකෝන් රත්නායක මුදියන්සේලාගේ
අබේරත්න හේරත් බණ්ඩා
අබේරත්න කපිල්
අබේරත්න ලොයිඩ් ඔස්කාර්
අබේසේකර වලිමුණි මෙන්ඩිස් ප්‍රියන්ජිත් හේමන්ත සිසිර කුමාර
අබේසිංහ ඇලෙක්සැන්ඩර් නිකලස් ද ආබෲ
අබේසුන්දර ගැමුණු
අබේසුන්දර සුනිල් සුබසිරි
අබේවීර සුමිතා ප්‍රියංගේනි
අබේවික්‍රම ආනන්ද ජයන්ත
අබේවික්‍රම හෙන්රි
අබේවික්‍රම කීර්තිලතා ප්‍රේමවතී
අබේවික්‍රම කීර්තිසේන චන්ද්‍රදාස
අබේවික්‍රම සයිමන්
අබේවික්‍රම සුමනදාස
අභයවර්ධන කුසල විචිත්‍ර
අභිරහම් සුමන්තිරන් මතියපරණං
අබූසලි මොහොමඩ් ලෙබ්බේ මරික්කාර්
අබු බකර් සෙල්ලතුරෙයි සුන්දරමූර්ති මොහොමඩ්
අබුබකර් අබ්දුල් රසාක් අලිම් මොහොමඩ්
අචලා ජාගොඩ
ආච්චිගේ දොන් විතාන ලක්ෂ්මන් වසන්ත පෙරේරා
ආච්චිගේ පාඨලී චම්පික රණවක
අදිකාරි අදිකාරි මුදියන්සේලාගේ අප්පුහාමි
අදිකාරි අදිකාරි මුදියන්සේලාගේ සෝමපාල
අදිකාරි ජනක් මහේන්ද්‍ර
ඒන්ස්ලම් පෙරේරා බෝදියබදුගේ ඩිලාන් ප්‍රියංජන්
අහමදුලෙබ්බේ මොහොමදු නසීර්
අහම්බරම් තම්බයියා
අහමඩ් ෆරීත් මීරා ලෙබ්බේ
අහමඩ් සෙනුලාබ්දීන් නසීර්
අහමඩ් මොහොමඩ් කාසිම්
අජිත් කුමාර ගල්බොක්ක හේවගේ
අජිත් නිවාඩ් කබ්රාල්
අජිත් රාජපක්ෂ
අකිල එල්ලාවල
අකිල විරාජ් කාරියවසම්
අකුරුගොඩ සේපාල
අලලාසුන්තරම් ආරුමුගම් මුරුගේසු
අලහකෝන් උපාලි සෝමසිරි
අලහප්පෙරුම ඩලස්
අලවතුවල සෝමවීර විජේසිංහ
අලවි අහමඩ් හසන් මොහොමඩ්
ඇල්කොක් නෝමන් චාල්ස්
ඇලෙගකෝන් වර්ස්පිල්ලෙයි ඇල්බට්
අලි සහීර් මවුලානා සේයාද්
අලුත්ගමගේ ආනන්ද අලුත්ගමගේ
අලුත්ගමගේ මහින්දානන්ද
අලුත්ගමගේ මීතලාවේ සයිමන්
අලුවිහාරේ රංජිත්
අලුවිහාරේ වසන්ත
අලුවිහාරේ උඩවලව්වේ බර්නාඩ් හර්බට්
අලුවිහාරේ වනිගසේකර බණ්ඩාරනායක වාසල මුදියන්සේ රාළහාමිලගේ ඇලික්
අමර ධර්මවිජය විජයසේකර දහනායක
අමරකීර්ති අතුකෝරල
අමරකීර්ති දයාවතී විමලසුන්දර
අමරසිරි ගාර්දියේ හේවාවසම් දොඩංගොඩගේ
අමරසිරි මාතරගේ සිරිසේන
අමරසිරි මාතරගේ උපාලි සරත් ඩන්ස්ටන්
අමරසූරිය හෙන්රි වුඩ්වර්ඩ්
අමරසූරිය තෝමස්
අමරතුංග ජෝන් ඇන්තනි එමානුවෙල්
අමරතුංග ජෝන් එඩ්මන්ඩ්
අමරවීර මහින්ද
අඹතැන්න දේවාලගේ ප්‍රේමදාස ය
අමීර් අලි සෙයිඩ් මොහොමඩ් ෂිහාබ්දීන්
අමිර්තලිංගම් අප්පාපිල්ලේ
අමිත් මොහොමඩ් හසීම්
අමිත් තේනුක විදානගමගේ
අමුණුගම දිලුම් සුරාජ් බණ්ඩාර
අනන්තම් සීමාන්පිල්ලේ මුදලියාර්
අංගජන් රාමනාදන්
අන්නමලෙයි නඩේසු සිවශක්ති
අන්නමලේ වේලූ
අනෝමා ගමගේ
අන්තින්න මරක්කලගේ ලීල් චාමික බුද්දදාස
ඇන්ටන් දයාශ්‍රිත තිසේරා
ඇන්ටනි නිමල් ලාන්සා
ඇන්ටනි වික්ටර් පෙරේරා බියන්විලගේ
අනුප පියුම් පැස්කුවල්
අනුර කුමාර දිසානායක
අනුර ප්‍රියදර්ශන යාපා
අනුර සිඩ්නි ජයරත්න
අනුරුද්ධ රණසිංහ ආරච්චිගේ රොෂාන්
අප්පාතුරෙයි විනයාගමූර්ති
අප්පුහාමිලගේ රෝහණ පුෂ්පකුමාර
අප්පුහාමි රත්නායක මුදියන්සේලාගේ
ආරච්චිගේ චමින්ද ජානක තිසාකුට්ටි
ආරච්චිගේ ගනේපොල දුලිප් පණ්ඩුල පෙරේරා විජේසේකර
ආරච්චිගේ ජගත් බාලසූරිය
ආරච්චිගේ මුතුහෙට්ටි නිමල් සෙනරත් විජේසිංහ
ආරච්චිගේ සරත් කුමාර ගුණරත්න
අරඹේවල දොන් සුගතදාස ද සිල්වා
ආරියදාස දිසානායක මුදියන්සේලාගේ
ආරියදාස වැලිගම පොල්වත්ත ගලප්පත්තිගේ
ආරියනේත්තිරන් පාක්කියසෙල්වම්
ආරියරත්න දිසානායක මුදියන්සේලාගේ
ආරියතිලක පියදිගමගේ ගාමිණී
ආරියවංශ චන්ද්‍රසිරි සූරියආරච්චි
අර්ජුන රණතුංග
අරුලම්පලම් චින්නයියා
අරුමදුර ලෝරන්ස් රොමේල් දුමින්ද සිල්වා
ආරුමුග තොණ්ඩමන්
ආරුමුගම් කන්දයියා ප්‍රේමචන්ද්‍රන්
අරුන්දික ප්‍රනාන්දු
අසංක නවරත්න
අසෙන්කුදූස් සෙයිනුදින් මරික්කාර්
අශෝක් අබේසිංහ
අශෝක ප්‍රියන්ත
අෂ්රොෆ් මොහොමඩ් හුසේන් මොහොමඩ්
අස්ලාම් මොහොමඩ් සලීම් මොහොමඩ්
අතපත්තු දොන් පීටර්
අතපත්තු රංජිත් කනිස්ක පරාක්‍රම
අතාවුල්ලා අහමඩ් ලෙබ්බේ මරික්කාර්
අතාවුද සෙනෙවිරත්න
අතුකෝරලලාගේ පැලවත්තේ කපිල නුවන් අතුකෝරල
ඇතුලත්මුදලි දොන් ඩැනියෙල්
ඇතුලත්මුදලි ලලිත් විලියම්
ඇතුලත්මුදලි ශ්‍රීමනී අනෝමා
අතුරලියේ රතන හිමි
අත්තනායක අත්තනායක මුදියන්සේලාගේ රම්බණ්ඩා
ආටිගල අතුල කුලරත්න
ආටිගල සිරිල් ඉයුජින්
ආටිගල ධනපාල පියදාස
ආටිගල ධර්මසේන
අතුකෝරළ ගාමිණී
අසීස් අබ්දුල්
බක්මීවැව නිහාල් යසේන්ද්‍ර
බාලචන්ද්‍රන් වයිතිලිංගම්
බලල්ලේ තිස්ස රෙජිනෝල්ඩ්
බාලසුන්දරම් මුරුගේසු
බාලසූරිය බාලසූරිය ආරච්චිගේ පුංචි බණ්ඩා
බඹරපනේ මුතු බණ්ඩා
බණ්ඩා මොහොට්ටාලගේ ඩිංගිරි
බණ්ඩාර දිසානායක මුදියන්සේලාගේ තිලකරත්න
බණ්ඩාර කුලතුංග දිසානායක මුදියන්සේලාගේ චන්ද්‍රසෝම
බණ්ඩාර රත්නායක මුදියන්සේලාගේ
බණ්ඩාරනායක අනුර ප්‍රියදර්ශී සොලමන් ඩයස්
බණ්ඩාරනායක ෆීලික්ස් රෙජිනෝල්ඩ් ඩයස්
බණ්ඩාරනායක සිරිමා රත්වත්තේ ඩයස්
බණ්ඩාරනායක සොලමන් වෙස්ට් රිජ්වේ ඩයස්
බණ්ඩාරනායක බණ්ඩාරනායක මුදියන්සේලාගේ පුංචි බණ්ඩා
බණ්ඩාරනායක දිසානායක මුදියන්සේලාගේ
බණ්ඩාරනායක රත්නසේකර රාළහාමිලාගේ ඩයස්
බණ්ඩාරනායක සැමුවෙල් ඩයස්
බන්දුල ගුණවර්ධනය
බන්දුල ලාල් බණ්ඩාරිගොඩ
බර්නාඩීන් රෝස් සේනානායක
බෂීර් අමීර් අසීස්
බෂීර් සේගු දාවුඩ්
බැසිල් රෝහණ රාජපක්ෂ
බාස්කරන් තුරෙයිරාජා
බාස්කරන් උමාපතිසිවම්
