Index,Sinhala Comment
42,මනෝජ් පොහොට්ටුවේ යකෝ බඩකපාගෙන මැරියන් පටිරෝල් අතගාලා බලපන් ලින්ගවිපර්යාසයක් වෙලාද කියලා අරගලය ඉල්ලුවේ තොපි වගෙ තරුණයෝ නෙවෙයි තෝ ලොල්ලෙක් ලැජ්ජයි හිරිකිතයි විලිලැජ්ජයි කුල්ල කුජීතයි පටිරෝල්
43,පොහොට්ටුවේ එලගවයා රාජපක්ෂලාගේ ගූ කන සක්කිලිබල්ලා මූ කම්බ හොරෙක් මූට ජන්දය දෙන්න එපා ලැජ්ජයි හිරිකිතයි විලිලැජ්ජයි කුල්ල කුජීතයි පටිරෝල්
44,රෙදි ගැලෙව්වා කාලකන්නි ටිකගෙ මාලිමාවට ජය වේවා
45,කාර්යාලයක් තිබුනා නම් ඒ ගොල්ලෝ දිනනවාළු කොහොමද උත්තර
46,මාධ්යවේදී සුරංග මින් පෙර දැකලානැ කඩේ යන එක නතරකරලා දැන් හරි මෙහෙම මාධ්යවේදියෝ සෘජුව ඉන්න එක ගැන සතුටුයි
47,කෑගැහුව ට කෙදිරිගැවට බයවෙන්න ඵපා හොරැඅල්ලලා නිතිය ක්රියාත්මක කරන්න
48,ආත්තම කතාව නම් ජනාධිපතිවරණය දිනන්න වැඩි අවස්ථාව තිබ්බෙ සජබෙටඋන් පැරදුනේ සජියාගෙ ඉදන් බිම් මට්ටමට යනකන් උන්ට චන්දෙ දෙන්න ඉන්න උන් පවා හැසිරුනේ හෙන ගොන් විදිහට
49,හර්ෂණ මොනවා කියනවද මන්දා සජිත් ට ජනතාව කැමති නැ කැමතිනම් චන්දය දෙනවනේ
50,මාලිමාව එනවට බයයි නම් හොරෙක් නැත්නම් හොරු මත යැපෙන එකෙක්
51,මාලිමාවට ජය වේවා
52,මෙච්චර රටට අපරාධ කරපු රනිලටයි හොර මෛනටයි කඩේ යනවනම් තනකොල කාපල්ලමේව රටට හෙලි කිරීමට දායකවන සිරස ටීවී සහ සුරංග ඔබට ස්තූතිය නලින්ද සහෝදරයා ඔබටත් ස්තූතියි
53,පාරම්පරික කරන්නේ පට්ටම හොරු එක්ක බොරු ජනතාව රැවටීම කරනවා
54,සුරංගට ඕනෙ උත්තරය දෙන්න
55,පොලීසියට සහ අධිකරණයට කරපු පත්කිරීම් ගැන ගොඩක් අය කරදර වෙන බව පේනවා
56,ඒයී නලින්ද ලොක්කට මොංගල් කිව්වලු පවු සජියා
57,අපිට පෙන විදිහට මෙච්චර කල් ආණ්ඩු කරපු උන් ලොකු ඒකාගෙ ඉදලා පොඩි ඒකාදක්වා හිතෙ හැටියට හොදහොදට හොරකම් කරලා තියනවා මෙරට ලෙසින් ගොඩ ගන්න බැරි විදිහටම
58,සාමාන්යයෙන් ජනාධිපති මැතිවරණයක් කරනකොට ඔයවගේ බොරුකියන්න ඕනා
59,මාලිමාව ට ජයවේවා
60,සුරංග නිසාමයි මේ වැඩසටහන බලන්න හිතෙන්නෙ
61,සුරග
62,උඹලගෙ පවුල් ඔක්කොම ගෙදර මේ සැරේ ගෙදර බන් අපි මාලිමාවට
63,රාඡපක්ෂගොතයඑලවන්නඡනතාවදැනුවත්වෙන්නහොරැබෙරාගන්නකතාවරටකාපුදුසනයවන්වාවනතරකරන්නපවුල්දෙසපාලනයතමයිවිනාසෙහොරැන්ටගියරටඛෙරාගමුඡනතාවනිඅවදිවන්න
64,එලවන්නසිංහලමුස්ලිමිදෙමලබර්ගර්අපිඑකතුවෙලාබොරැහොරදුසනමිනිමරැදුස්ටපවුල්දෙෂපාලනයඅවසන්කරමුරටබෙරාගමු මහඡනයපාර්ලිමන්ටිහොරැඑලවනවායෙන්පුරවමුහොරූබයවෙලැ
65,සුපිරි සුරංග කොන්ද කෙලින් ඇති මිනිහෙක්
