Index,Sinhala Comment
182,පොහොට්ටුව තමා බොරු කියන්නේ
183,මේක බලන අය තීරණය කරන්න පාර්ලිමේන්තුවෙ අය විශේෂයෙන්ම හිටපු ජනාධිපතිතුමා ලාගේවිශ්රාම පඩියට අමතරව ලේකම්වරයාගේපඩියසහ ඉන්ධන ප්රමාණය අයින් කල යුතුනැද්ද කියා ඒවෙනුවෙන්පෙල ගැහෙන්නට ඒක ජනාධිපතිතුමාට තනිවම ඒක කරන්න බැහැ නීතිය ඒඅත් ගැට ගහල තියෙන්නෙ අතීතයට බලපාන ආකාරය ට නීතිය හරි ගැස්විය යුතුව ඇත
184,මටනම් ඡන්දෙ දෙන්නේ ජෙ වි පි ඒකට ඔකෙ
185,කටපන එකෙක් ආයිත් එවපන්කෝ මේ එකෙන් ආයිත් සටනට රාජ කරුනා නිකන් අයිස් ගහල වගේ
186,එන්න කියලා කැවැඩ කරන්න එපා සුරන්
187,ගෙදර මේසෙට වෙලා බෝතලේ එනකන් බයිට්දිහා බලන් සතුටුවෙන නලී සහෝ
188,වර්තමානයේ සිටින දැන උගත්කමින් අඩු මා ඇතුලු අප සියලු ලාංකික ජනතාව බුද්ධිමත්කමින්උගත්කමින්යහපත්කමින් වැඩි හොඳ බුද්ධිමත් ආදරණීය සමාජයක් ගොඩනැගීම වෙනුවෙන් සිරස ඔබ මාධ්ය ආයතනය අවංකව කැපවෙන ලෙස මා ඉල්ලා සිටිනවා හාස්යත්වයෙන් හෝ සංස්කෘතතාවයෙන් හෝ වෙනත් ඕනෑම නිවැරදි ආකාරයකින් මා ඇතුලු හැකිතරම් ලාංකික අප සියලු දෙනාවම මේ කෲරත්වයෙන් වැඩි සමාජයට තිත තියලා යහපත් සමාජයක් වෙනුවෙන් ගමන් කිරීමට ලාංකික අප සියලු දෙනාටම අවශ්ය දැනුම හා මගපෙන්වීම ලබාදෙන්නත් කටයුත් කරන්නඔබ අවංකව එසේ කරනවානම් ඔබ ආයතනය අනාගතයේදි ප්රසිද්ධත්වයට වඩා ජනප්රියත්වයෙන් වැඩි වන බව හා ඔබ ආයතනයේ මූල්යමය වටිනාකම දහස් ගුනයකින් වැඩි බව අනිවාර්ය කාරණාවක්ඔබ එසේ කරන විටඔබ ආයතනය එතරම් දියුණුවක් කරා ගමන් කිරීමට අවශ්ය ප්රේක්ෂක ජනතා ආකර්ශනය දිනෙන් දින වැඩි වීම අනාගතයේදි අනිවාර්යෙන්ම සිදුවෙනවාවිදේශීය ජනතාවගේ ආකර්ශනයක් ලැබේවිජාත්යන්තර මාධ්ය ආයතන මට්ටමෙන් ගත්තම ඔබ මාධ්ය ආයතනයට ඒ මාධ්යන් අතුරින් ඉහල තැනකට ගෙන ඒමට හැකියාව ලැබේවිඔබ අවංකව ජනතාව එසේ නිවැරදි දේ කරනවානම්ඔබ ආයතනයේ දියුණුව වෙනුවෙන් මා කියූ සියලු දේ සත්ය වන බව මා වගකීමෙන් කියා සිටිනවානැවතත් සිරස ඔබ ආයතනයට ජයවේවාමා ඇතුලු අප ජනතාව වෙනුවෙනුත් ඔබ ආයතනය වෙනුවෙනුත් මෙවැනි වැදගත් කමෙන්ට් ක් ටයිප් කරන්න මම වෙන්කරගත් කාලය අපතේ නොයයි කියා මා සිතනවා
189,සිරස
190,සුරංග කියන්නේ අමු ගවයා
191,සුරංග ඔයාට
192,සිරස ඔබ මාධ්ය අතීතය අමතක කර වර්තමානයේ මෙවැනි ආකාරයෙන් ජනතාව වෙනුවෙන් පෙනිසිටීමට කටයුතු කරන්නේ අවංකවමනම් ඔබට අපගේ අවංක ගෞරවය පුදකරනවාඉදිරියේදීත් නොකඩවා රට පිලිබඳව ජනතාව දැනුවත් කිරීමට කටයුතු කරන ලෙස ඉල්ලා සිටිනවාමේ ප්රචන්ඩ දේශපාලනය අවසන් කරවලාදේශපාලකයෝ රටේ ජනතාව වෙනුවෙන් සේවය කරන නියෝජිතයින් පමණක් බවත්ශෝ පෙන්නන දේශපාලකයො නොව ඔවුන් රාජ්ය සේවකයින් පමණක් බවත් ජනතාවගේ ඔලුවට කාවද්දන්නටත් කටයුතු කරන්නඅත්යාවශ්ය පාලකයන් හැර අනිත් හැම දේශපාලකයෙකුම පාරේ ශෝ දාගෙන ආරක්ෂාව සමග වාහන පෝලිමක යන්නේ නැතුව දේශපාලකයා පොදු ප්රවාහන සේවයත් භාවිතා කිරීම අත්යාවශ්ය කාරණාවක් බවත්විශේෂයෙන් දේශපාලකයා පොදු ප්රවාහනය ඇතුලුව රටේ පවතින අක්රමිකතා ගැන සොයාබලා අත්දැකීම් ලබාගෙන ඒවා දියුණු කිරීම අනිවාර්ය කාරණාවක් බව ජනතාව දැනුවත් කිරීමට සිරස ඔබ මාධ්ය ඉදිරියේදි අනිවාර්යෙන්ම කටයුතු කරන්නඔබ ආයතනය ජනතාව වෙනුවෙන් පෙනීසිටින තාක්කල් මා ඇතුලුව අපි සියලු දෙනාම ඔබ මාධ්ය ආයතනය සමග අනිවර්යෙන්ම රැඳීසිටිනවාඔබ ආයතනය ඇතුලු කාර්ය මණ්ඩලයේ සියලුම දෙනාට වර්තමානය වෙනුවෙන් බෙහෙවින් ස්තූතිජයවේවාදේශපාලක නියෝජිතයිනුත් ජනතාවත් සියලු දෙනාම රටේ පුරවැසියන් බව ජනතාව දැනුවත් කල යුතුයිසියලු දෙනාටම එක ලෙස සලකන සමාජයක් ගොඩනැගීමටත්කාටත් විශේෂ අවධානයක් නොදි සියල්ලන්ම එක සේ සිතීමට කටයුතු කලයුතුයිඒ වගේ හිතන්න ජනතාවට අවශ්ය දැනුම හා ඒ වගේ සරල විදිහට සිතන්නසරලව හැසිරීමට අවශ්ය ආදරණීයඅවංක සිතුවිලි මා ඇතුලු අප සියලු ජනතාවට හුරුපුරුදු කිරීමටත් ඔබ මාධ්ය තුලින් ඉදිරියේදී නොකඩවා කටයුතු කරන්න කියලා ගෞරවයෙන් ඉල්ලා සිටිනවාඔබ මාධ්යට ජයවේවා
193,අඩෝ ඒව දැන් අදාල නෑ වගේ එකක් කිව්ව නේද
194,සුරංග කියන්නෙ වෙනම ලෙවල් එකක් නමුත් සුරංග ඕ ලෙවල් නම් නලින්ද ඒ ලෙවල්
195,දැනුවත් කිරිමට ප්රණාමයමේ විදිහට ඉදිරියේදිත් නොකඩවා ජනතාව නොදන්නා දේවල් පිලිබඳ අපි සියලු දෙනාවම දැනුවත් කිරීමට කටයුතු කරන්නසිරස තමා මේ නූතන වර්ථමානයේ සුපිරිම චැනල් එකක්
196,තාරක අර වෑන් තුනේ වැඩ ඉවරයි ද
197,මේ මෝඩයන්ට ඇයි නොතේරෙන්නේ තාම අනුර ජනාධිපතිවරයා ලෙස පත්වෙලා දවස් යි
198,සුරංග සුපිරි පොරක් ඔයා
199,ජනතා විමුක්ති පෙරමුන උනත් අවුලක් නැහැ රාජකරැනා ඔය ගොල්ලෝ වගේ හොරැ නෙවෙයි
200,සජිත් රනිල් රාජපක්ෂ කාලකන්නි අපේ රටේත් අතුගා දම මු
201,සටන සතියට තුන් පාරක්වත් තියන්න ඕන මමනම් කියන්නෙ හරි විනෝදයි
202,හර්ශ න රජකරුනාමු නම් ඔහෙන් අය එවන්ඩ එපා
203,හර්ෂනට රෙද්දෙ රෙවිලවෙනදාට තිබ්බ සද්දෙ නැහැ නියමයි සිරස
204,මේ මාධ්යවේදීන් හට අපගේ උපහාසය
205,නලින්ද වගේ කාටවත් මඩ නොගහා විනාඩි ක් කතා කරන්න පුලුවන් එකෙක් නෑනේ යකෝ අපතයොන්ගේ පක්ශවල
206,හර්ශන පකයට රෙවිලනේඌ විනාඩි න් ක්ම එකට බැන්නේගෝතයා
207,කොන්ද පණ ඇති මාධ්යවේදීන් ට ජයවේවා මාලිමාවට ජයවේවා අපේ මව්බිමට ජයවේවා
208,මහජනතාවට කෙරෙනෙ නිවේදනයයි අවසාන කතාවන් මොනවට පැහැදිලි වෙන්නේ සියලු චෝදනා එන්නෙ මහජනතාව වෙතයි මොකද හොරු කවුද හොද කවුද කියල තෝරගන්නෙ නැතුව හොරු විතරක් පාර්ලිමේන්තුවට යැවීමේ මූලික චෝදනාව මහජනතාවට එල්ල වීමයි එතකොට මහජනතාව මෝඩයො ලෙසත් මේ මහා විනාසයට වගකිවයුත්තන් වීමයි මහජනතාව මින් ඉදිරියට තේරුම් ගත යුතු දේ නම් මින් ඉදිරියට මොලේ කල්පනා කරල හොරු පාර්ලිමේන්තුවට නොයවා ඉමු පස්සෙ මහජනතාවටම මේ අය චෝදනා කරයි
209,ෆින්ගර් ප්රින්ට් මැෂින් එක්ක හොරු හරිම තරහයිහිටපු හොරුඒ නිසා ලංකාවට ඒ මැෂින් ගෙනාවෙ නෑ
210,රටේ ජනතාව වෙනුවෙන් මේ මොහොතේ පෙනීසිටින සිරස මෙම මාධ්යවේදීන්ට උපහාරය
211,හර්ෂණ රාජකරුණා ගංජා ගහලද අයිස් ගහල ද මේ වගේ සත්තු ගෙදර තියන්න පාර්ලිමේන්තු නම් යවන්න එපා මාලිමාව ට ශක්තිමත් බලයක් දෙමු මෙතෙක් කලක් පැවැති පාලනය පාර්ලිමේන්තු වේ සම්මත කරගත් ජනතා විරෝධී පනත් රිවස් කර ජනතාවාදී පනත් සම්මත කිරීම සඳහා ශක්තිමත් පාර්ලිමේන්තුවක් අවශ්යයි
212,මුන් පස්සෙ ආපු මිනිස්සුන්ට මොනවා හිතෙනවද තාමත් පෞල් දෙශපාලනේ වෙනුවෙන් කඩේ යන මිහරක් ඉන්නවා
213,මට එදා එදලා පේන්න බැරිඑකෙක් තමයි ඔය දොම්පෙ පැත්තෙ ඉන්න එකා
214,නලින්ද ජයතිස්ස හැර අනිත් අයගේ බයිලානම් වැඩක් හැනැඋන් ඔක්කොම හොරු
215,සුරංග තමා සුපිරි
216,මන් ඔබතුමන්ලාගෙන් කරැනාවෙන් ඉල්ලන්නෙ නාමල් රාජපක්සවත් සටනට ගෙන්නන්නකො ඔයාලාට ඇයි ගෙන්නන්න බැරි තව සජිත්ව ගෙන්වන්න
217,සිරසෙ සෙට් එකමලිමාව එක්ක එකතු කරලා පර්ලිමෙන්තුවට යවන්නඔනිමොකදසිරස මාරම ගැම්මක්
218,පිරිස පිරිවරාගෙන ජයවේවා කියාගෙන එන්නේ හරිම බහුසෘතලා කියලා හිතාගෙන අහන ප්රශ්ණවලට උත්තර දෙන්න ගියාම කසිප්පු ගහපු උන් වගේ දිව කට පැටලෙනවානාන නෑමට යන්න වෙන්නේ දිය රෙද්දත් නැතුව
219,මාලිමාව ගැන නෙමෙයි යකො තෝපෙ ගැන කතා කරන්න එපෙයි තවත් ඔක්කම කතා කරන්නෙ මාලිමාව ගැනමනෙ අලුත් කට්ටිය තමයි ගෙන්නෙ අපි අපෙ පාලාතෙ ඉන්න නියොජිතයා අපි දන්නවන්ම් කොහෙවත් ඉන්න උබලට මොකද අමාරුව කොහමත් පුල් ශුද්දයි උබලා කොහමත් ගෙදර මාලිමාවට ජය
220,නිකන් මේවා මෙගා ශෝ කරන්න එපා බලන එකත් එපා වෙනවා සිරස මෙක නිකන් ආඩි දෙනාගේ කැදහැලිය වගේ
221,සුරංග ප්රදාන නලුවා ලෙස රගපාන සුපිරි විකට නාට්යක්
222,නිකන් මේවා මෙගා ශෝ කරන්න එපා බලන එකත් එපා වෙනවා සිරස මෙක නිකන් ආඩි දෙනාගේ කැදහැලිය වගේ
223,සුරංග ජවය කතා කරන
224,දූෂණය ගැන කියන මනෝජ් කියන ගොබ්බ නීතඥයට කියන්න දෙයක් නැතුව තප්පුලනවා ඌ හොරු අල්ලයි කියලා බය වෙලා
225,බැලූබැල්මට තාරක බාලසූරිය පූර්ව ලමාවිය සංවර්ධනය නොවූ අයෙක්හර්ෂණ හොඳට සබන් ගාගෙන නානවාමනෝජ්ගෙ පුංචි මොලේට තේරෙන්නෙ නෑ ඌ ඉන්නෙ හොරමුලක් එක්ක කියලසුරංග ඔයා තමයි දවසකටවත් මිනිහා
226,හිතනවනම් මේ වැඩසටහනත් ඇති
227,මේ සටනේදී ඇත්තටම දායකකම එකතු කරනවා කරුණාකර විශේෂත්වයත් සමඟ මාලිමාව අනුගමනය කරන්න රටේ අනාගතය පිළිබඳ විවරණය කරන්න
228,නුවරඑළියේ එන්න එපා මේ පර නම් අපේ ගමට උනත් කමක් නැ පාර හදලා දෙන්න බැරි නම්
229,නිවෙිදක පස්නකරන මහත්වරැනි අතීතයේ සිටම මෙිරට අතිශයින්ම විනාෂයට පත්කල ඔය එදා රට පාලනය කල දේශත්දෝහී ජඩයින්සමග තවතවත් වාදවිවාද පැවත්වීමත් අපනමිහිතන්නේ කැතම කැතවිහිළුවක් ලෙසයිඔබලාගේ ගුවන් කාලයත් අපතේ යැවීමක් උන් මෙි රටට කල විනාෂය මෙි රටට ආදරයකරන දේශහිතක් ශී මිනිසුන් අතරඔබලාගැනත් වැරදි අවබෝධයක් ඇතිවිය හැකියිකෙටියෙන්ම කියතොත් ඔීකුන් ජාතී දෝහීන්දේෂත් දෝහීන් බව අපරටම පිලිගෙන හමාරයි එදා අපි උන්ට බලයදී කරගත්තේ විශාල වරදක්
230,හැර තොපි සේරම ඵලවනව
231,නලින්ද
232,අයියෝ සජබේ පොහොට්ටුවේ දේශපාලන හිගන්නෝ කිච වෙන තරම් මුන් බලය රැකගන්න තටමන තටමිල්ල පිංපි වේසිගෙ පුතාලා
233,හර්ෂණ මොකද ගොත ගහන්නේ
234,නලින්ද ජයතිස්ස හරි ලස්සනට කතා කරනවා අහන්න අාසයි
235,නලින්ද ඇරෙන්න අනිත් තුන් දෙනා ප්රශ්නයක් එද්දි බයේ වෙව්ලනවා
236,පාලම හැදුවනමි උබලට තව කෝටි ගානක් හොරකන් කර ගන්න තිබුනඒක බැරි වුනානේ ඒ හිතේ අමාරුවට තමයි ඔය කියවන්නේ
237,සුරන්ග නියමයි ගලවන්නෝන රෙදි මුන්ගෙ මුන් ඔක්කොම යාලුවො මල්ලි
238,හැමෝම ඡන්දය
239,සුරංග ඔයා සුපිරි
240,සිරස මාධ්යවේදීන්ට
241,හරි විනෝදයි
242,හර්ශනයා උත්තර දෙනවිදියෙන් පේනවාමූත් හොරෙක් කියලාගෙදර යැවියයුතු මය්
243,දන්න පල් හොරුන්ට වඩා නොදන්න අය හොදයි උබල ඔක්කොම පන්නල මාලිමාව රජ කරවනව දැනගනිල්ල තොපේ මුණවල් දකිද්දිත් අප්පිරියයිතවත් ඇවිත් එක එකාගේ රෙදි හෝදනව හිතන්න එපා තොපේ ඔය බොරු අහන්න මිනිස්සු තවත් ලෑස්ති ඇති කියල
244,උබල කියන්නෙ දන්න පරන පල්කඩ හොර හැත්ත පාර්ලිමේන්තු යවන්න කියලද
245,හරි ස්තූති ගිලන්රථ සූදානම් ද පපුවේ අමාරුවට
246,පෙනවා නේද මුන් තුන් දෙනාට කතා කරගන්නත් බෑ
247,මම මේ වැඩ සටහන් බලන්නේ නෑ එත් එන හින්දමයි බැලුවේ නියමයි මම කළුතර නෙවෙයි එත් ඔබතුමා උඩින්ම එනවා එක විශ්වාසයි
248,සුරංග ඕයි ඕයි යට ඇදුමවත් ඉතුරු කරන්න තිබ්බා ඔයා ඒකත් ගැලෙව්වනේ සුරංග
249,අඩෝ අරුන් තුන් දෙනා ගැන පව්කියල හිතෙනව බන්
250,දේශපාලන සන්වාදය ඉතා වැදගත් අර පිටුපසින් ඉන්න ගොට්ටො ටික නොගෙන එනවනම්තවත් වැදගත්
251,හර්ෂණ මේ මේ මේ බොරු කියන්න එපා
252,ඔය විදිහට මිනිස්සුන්ව අසරණ කරන්න ඒපා සුරංග පව් කියලා හිතෙන්නෙම නැද්ද
253,සුරංග මරු ඈ
254,සජබ හරි නැහැ ඒත් හර්ෂන රාජකරැනා මැරැන රජිව් ගාන්ධි වගේ ලස්සනයි ඒ චරිතෙට දවසක අන්දල ගන්න පුළුවනි
255,සිරස පැහැදිලිවම පොහොට්ටුවට කෙලිනවා ඔය මනෝජ් ගමගේව අඹරන එකනම් හොදයි ඔකා මහ බල්ලෙක් අර මිනිමරැවොත් එක්ක එකතුවෙලා බෙහෙත් හොරැ ආරක්ෂාකලා අමු හොරෙක් ඔකුන් ගහල පන්නමු ඔවුන් ඔක්කෝම තමන්ගේ මඩියට අත උස්සල දැන් මගේ පෞද්ගලික මථය මේකයි කිය කිය මඩ හෝදගන්න හදනවා මුන් ඔක්කෝම හිතන්නේ මුන් පාර් එන්නේ මෙ ජොබ් එකක් කියල හිතල මිසක් රටක් ජනතාවගේ නියෝජනටක් ටන හැගිමෙන් නෙවෙයි ජනතාව බුද්ධිමත්ව මෙ වැඩ සටහන් නරඹන්න ඔනේ මෙ කියන කතා හිතට ගන්න ඔනේ නිකන් බලනවට බලන්න එපා බලලා මෙ පරයෝ ගැන තිරන ගන්න
256,පක්ශෙ නායක නාමල් එකෙන් රින්ගන එක කුජිතයි
257,හිරු හිරුනිකා කුඩු රාජකරුනා
258,නාමල්ගෙ හොරා මෙවර චන්දෙන් ගෙදර යවමු
259,නාමල් ගෙ හොරෙක් ඉන්නව
260,මම පක්ෂේකින් චන්දේ ඉල්ලනවා මම දන්නේ නෑ එකෙන් චන්දේ ඉල්ලන්නේ හොරුද මීනිමරුවෝද කව්ද කියලා දැනගන්න ඕන නම් පක්ෂ ලේකම්ගෙන් පොඩ්ඩක් අහන්න
261,ඔක්කොම කියනවා එකකට පාස්කු විහිළුවක් එකතු එකකට
262,හොදේඒ කවුද
263,සුරන්ග නියමයි
264,නලී සහෝදරයා
265,සුරන්ග සුපිරී
266,මෝඩ ගම්පහ නායකයා අනෙකා සමච්චල් කලා කියලා දිනන්න බැහැ අපි බලමුදිනන්න නම් ප්රතිවාදීයා ප්රසංගසා කර තමන්ගේ අදහස් කිව්වා නම් සැවොම ඇහුම් කන් දෙවිඔයගොල්ලෝ කියන විදියට අනුර කුමාර හොරකම් කල සල්ලි ගෙදරින් ගෙනල්ල රට හදන්න කියලා මේ රට භාරගත්ත විතරයි උඹලා කල පිස්සු නිසාමයි මේ රට බංකලොත් වුණේමම දෙමළෙක් දැක්ක උඹලගේ විකඩම් තෙරුවන් සරණයි
267,මේ පොහොට්ටුවෙන් ඇවිල්ලා ඉන්න එකා මැරිලා ඉපදිලාද
268,මුංවනම් කවදාවත් දියවන්නාවට යවන්නෙපා නලීන් ඔබට ජය
269,අරුන් න් දෙනා බොක වලේ පීනනව වගෙ දැක්කෙ උන් න් දෙනා බොක් බොක් ගානව විතරයි දැන්වත් නොඋක ගෙදර පලයන් මාලිමාවට කරගන්න දීල මගේ රටට මෙහෙම කරල උබල කොහොමද බං ඔහොම ඉන්නෙ මුන්ට කඩේ යන කාලකන්නි සේරම මැරිලම යන්න ඕනෙ
270,මෙතන එකෙක් කියනවා දන්නේ නැල්ලු මැරුවද මැරුණද කියලා ආපු හරක් අත්පුඩි ගහනව
271,සජබෙ ඉන්නෙ අමු හරක් මුන් තාම දන් නෑ ජනාදිපතිවරනෙ මුන් පැරදුන හේතුව තාම හිතන් ඉන්නෙ එකට මඩ ගහලා චන්දෙ දිනන්න පුලුවන් කියලා
272,උගන්ඩාවට සල්ලි ගෙනිච්චා කියලා අපි කිවේ නෑ
273,හොරු ක් ඉන්නෙ
274,ඩොක්ටර් නලින්ද හැරෙන්න අනිත් උන් ඔක්කොම ගොත ගහනවනෙ
275,සටන බලන්න එන්නෙම සුරංග නිසා මං දැකපු සුපිරිම මාධ්යවේදීයෙක්
276,රාජකරුනා ලෙෆ්ට්
277,බුදු හැමෝටම පරිස්සමෙන්
278,ප්රශ්න කරනවා නම් ඒක තමයි ක්රමය
279,සමගි කියන්නේ තමයි එක නම්
280,හර්ශනයා කසිප්පු ගහල අවිත්ආඅ ආ කෝ කෝ
281,රට කාල හැත්ත
282,රෙදි ගලවනවා කියලා ඔහොමත් ගලවන්න එපා
283,නලින්ද සහෝදරයා මාලිමාවට ජයවේවා
284,කතා කරපං බිත්තර ගැන
285,නලින්ද සහොදරයා හින්දා බැලුවේ
286,සටන නම් සුරංග
287,කව්දමගෙ රත්තරන් හෙලේනා
288,රෙද්දෙ රෙවෙනව කියන්නෙ මේකටපව් සුරන්ගය එහෙම කරපු එක හැබැය්
289,සුරන්ගය දුන්න දුවන්න හැබැය්
290,සුරංග සේනානායක මම හිතන්නේ ලංකාවෙ ඉන්න ශක්තිමත් පිට කොන්දක් තියෙන මාද්යවේදියෙක්
291,මාලිමාවට ජයවේවා
292,මූ ලෝයර් කෙනෙක් නෙමෙයි රාජපක්ෂ ගෙ ගූ කන එකෙක්
293,සටන නම් සුරංග සුරංග නම් සටන ගිය පාර ජනාධිපතිවරනෙදි වෙන වෙන පක්ශ වලට දීලා මේ පාර මාලිමාවට දෙන උන් ඉන්නවද අපි දුන්නෙ එකෙම්ම මාලිමාවට හොදේ
294,වැද්දො බණ කියනවා
295,ලංකාවේ ඉදලා ඉන්දියාවට පාලමක් ගහලා එකට රටින් බාහයක් දෙන්න හැදුවෙ ප්රතිලාභ හොරුන්ට තමා ජනතාවට නෙවෙයි
296,යට වැඩි බලයක් සහිත පාර්ලිමේන්තුවක් පිහිටුවීමට මාලිමාවට අපේ වටිනා ඡන්දය ලබාදෙමු
297,සිරස නමා ආචාරකරන්න ඕන සිරසටරටවෙනුවෙන් කරනා සේවයට
298,සජිත්ට පලදුන්නෙ එයාගෙ පියානො ප්රේමදාස කරපු අපරාධ
299,ඉන්න අය නමි ඕනෑම නේද
300,තමයි එහෙම තමයි
301,අනේ කොච්චර බොරු බේගල් ඇඳ බෑවත් අපි ඡන්දෙ දෙන්නේ මාලිමාවට
302,කට්ටියකගෙ ජ්ංගි වල චු ගිහින් ඇති ආයතනය ත් ගද ගහාවිතාරකය කලින්ම එලවන්න
303,සුරංග
304,නලින්ද
305,සුරංග අය්යේ ඇයි අනිත් තුන්දෙනා ගොත ගහන්නේ
306,සුරංග මාරයි
307,සුරංගයා නම් ෆට්ට හැබැයි
308,සුරංග
309,පුදුම හොරු නේ යකෝ ඉදල තියෙන්නේ පුකේ ඉදල හම ගහන්ඩ ඕන
310,මනෝජ් ඔයාගෙ වත්කම් ග්න කියන්න
311,පොහොට්ටුවෙන් වගේමයි ආපු එකත්
312,රට කාපු නාකි හැත්ත ගෙදර යවල උගත් බුද්ධිමත් රටට ආදරේ කරන තරුණ තරුණියන් පිරිසක් පාර්ලිමේන්තුවට යවමූ
313,සුරංග සුපිරි ඇ
314,රැවුල මාධ්යවේදියෙක් විදිහට නෙමෙයි හැසිරෙන්නේ තනිකර මාලිමාවේ එක්
315,ඇයි දුකද අනිත් උන්ට කටවල් පුකවල් වහගන්න අහන ප්රශ්න වලට කාටද චන්දෙ දුන්නෙ සජියටද රනිල්ටද නාමල්ටද උබ
316,අම්මෝමෝ සුරංග සුපිරි
317,අර රැවුල නම් මාලිමාවටම කඩේ යන එකේ මාලි මාව
318,නලින්ද ජයතිස්ස
319,යකො හර්සන දන්න පුතානොට මිනිස්සු දුන්නා හික් ගැවෙන්න
320,මාලිමාවට තවමත් ජන්දය නොදෙන කෙනෙක්වේනම් කුමන හෝ ආකාරයකින් අනුන්ගෙන් යැපෙන්නෙකිනැත්නම් උපන්ගෙයිම අනුවනයෙකි
321,අම්මෝ රෙදි ලෙෆ්ට්
322,පක්ෂ කෙසේ වෙතත් බුද්ධිමත් අපේක්ෂකයා දෙනෙක් ඉන්නෙ නමුත් අද සිරස කන්ඩායම අන්ත මෝඩයා වගේ හැසිරෙන්නෙ
323,ජාතික ජනබලවේගය කියන්නේ ජනතා විමුක්ති පෙර මුණ නම් ඈ රාජකරුණෝ එතකොට සජෙබේ කියන්නෙත් එක්සත් ජාතික පක්ෂය ද අනේ මංදා නායකයගෙ මොලේම තමා පාක්ෂිකයන්ටත් තියෙන්නේ
324,හර්ෂන ගොං පයෝ දන්න පකයා කරානේ
325,සුරංග සේනානායක කොන්දක් නෙමෙයි කන්දක් උඹ නම් මහත්තයෝ
326,අනිවාර්යයෙන්ම ලක් අම්මගේ පුතෙක්
327,සුපිරි චරිත සුරංග ඔයා
328,සිරාවටම බං
329,එකෙන්මකොන්දක් තියන පොරක්
330,සුරංග තමයි බං චරිතේ ආදරෙයි පැලෙන්න දැන් සටන තියන දවස වෙනකං ඉවසිල්ලක් නැතුව බලාගෙන ඉන්නෙ
331,මනෝජ් ගමගේ කියන්නේ රාජපක්සලගේ අශුචි බුදින එකෙක් කෙහෙලියට විරුද්දව ගෙනා විස්වාසබන්ගයට විරුද්දව අත උස්සපු හැමෝටම නීතියෙන් දඩුවම් දෙන්න ඕනකාලකන්නි මල පෙරේතයෝමූ නීතිවේදියෙක් නේද ඕක බල්ලෙකුට දීපිය සක්කිලිය
332,සුරංග උබ මාර පොරක්නෙ බං
333,දේශපාලන සංදර්ශනය හෝ විකට සංදර්ශනය කුමක්ද මේ
334,නලින්ද අැරෙන්න අනිත් බුරැවෝ තුන්දෙනා පිටිපස්සේ ජය වෙිවා ගගා අාපු ගොං හරක්ගේ අැදුන් තියනවද බලපන්
335,අයියෝ සිරස දැන් බල්ලාට ගිහිල්ලා ඕගොල්ලෝ මාධ්යවේදියෝද රණ්ඩුකාරයෝද මේ වැඩසටහන හරිම කැතයි මෙහා සුරංග පිස්සෙක් වගේ කෑගහන්නෙ
336,සුරංග
337,වෙචිච හොර මැරකමි ගැන හොයන්න යන එක බොරැවක් මෙතැනින් ඉස්සරහට වැට බඳිනින පොහොටිටු සටිටැඹියා හදන්නේ රාජපක්ෂ හොරැ අල්ලන වැඩෙි නවත්වගන්න ඒවා බොරැකලේ තොගේ නායකයා අනුර ප්රමුඛ මාලිමා රජය ආවෙි ඔය ජරා සංස්කෘතිය ඉවරකරන්න තොපි ඉන්නකාලේ උන්ට වල්ගේ වනලා දැන් එනවා සුදනෝ වෙන්න
338,සුරංග
339,සිරස
340,හර්ෂ ගන්ජා ගහලා අැවිත් තියෙන්නේ කියලා හිතෙන්නේ මට විතරද
341,සජිත්ට කරුමෙකට කරගහන්න වුනාලු
342,අරගලයේ මගුල් කියනව අරු තොපේ මහා ඒකා තමයි මැයි අරගලයට කෙළියේ මුංගෙ පස්සේ යන එවුන් ඉන්න වනි තවත්
343,තාරක බාලසූරියට කවුද බන් ඡන්ද දෙන හරක්
344,කඩා ගන්නව නලින් සුපිරි
345,කලුතර අපි එකට නලින්දට
346,මාලිමාවේ නියෝජිතයින්ගෙන් පාර්ලිමේන්තුව මේ පාර පුරවමු
347,සුරංග සුපිරි ඈඅපි බලාපොරොත්තු වෙන්නෙ ඔබ වැනි මාද්යවේදින්අනිත් දෙන්නත් නියමයිකපටි කයිවාරු ආත්මාර්තකාමී දේශපාලුවන් ගෙ රෙදි ගැලෙව්වා
348,පහුගිය දේශපාලනය බැලුවම හරියට කාටූන්වල ඉන්න චරිත වගේ ගහනවා ආයි හොදට ඉන්නවා උන් මැරෙන්නෙ නෑ
349,හොර හැත්ත රටම හොරාකාලා හිගමනට ඇදලා දැම්මා
350,තාරක බාලසූරිය අැල්වතුරත් නිවලා බොනවා වගේ
351,සජිත් ගේ වැරදි මා කමෙන්ටු වලින් පැවසූවා අම්මායිඔහුටයි පැන්ශොන්නගා සල්ලි හිටපු ජනපති මහින්දගේ විඩියෝවක් තියනවා ඕවා තමා සමහර වැරදි
352,විදේස ප්රේශණ ගැන නම් එකග වෙනවා බළමු ඒවා ඉදිරියට වෙයිද කියලා
353,හර්ශණ මේ කෙටි කාළයෙත් ඔය කරපු දේවල් ඇති නේ
354,හර්ශණ තද වෙන්න එපා මහා මැතිවරණයෙන් පස්සේ කරයි
