Index,Sinhala Comment
38,අවශ්යතාවය පැහැදිලි
39,ඔබතුමා නියමයි ලොවෙත් නැති වෙන්න දෙනව ජයවේවා ආඩම්බර යි ආණ්ඩුව සාපයක්
40,මෙ මනූස්සයාගෙ කතා නිසා අහන්න ආසයි මොකද මෙ කාලකන්නි රජය කරන්නෙම බොරැව ඇත්ත කියන නිසා අර්චුනාට දෙන්නෙ කෙටි වෙලාවයි
41,මෙ වචන අපි සාමාන්යයෙන් පාවිච්චි කරන්නෙ නැහෑ ඒවුනාට අපි දැන් මාලිමාවෙලා තො වගෙ මෝඩයෙක් තමයි තොපෙ නිවට නායකයත් අර්චුනාට වගෙ කොන්දක් තිබෙනවද ඌට ඇද්ද හැමදාම අහාගන්නවා හැමදාම
42,මෙ මනුස්සයා අවංකයි ඇත්ත කියනවා බියක් නැතුව මට නම් ඔය පච කියන වැඩිය හොදයි
43,කිරි දරුවා පොලේ ගහල මරපු ගැබිණියන්ගේ බඩ පාගල මරල දාපු ගම් පිටින් කපල කොටලා මරපු පාපතර ත්රස්ත වාදී කොටින්ගේ හොද කියන මේ අසික්කිතයා හරි කියන්න අසික්කිත හැතිකරයක් සිංහල ජාතිය දාස් ගානක් ජිවිත පුජකරලා බේරගත්ත රට වෙනුවෙන් මැරුණ කොල්ලන්ගේ ජිවිත අපරාදේ උනුත් මේ විදිහට හිතුව නම් උන් අදටත් ගැනු දරුවෝ දෙමාපියන් එකක් ජීවත් වෙනවා අසික්කිත සිංහල හැත්ත කොටි දෙමලා ට කඩේ යන හැම එකාටම හෙනම ගහපිය
44,මු කොටියෙක් කියලා ඔප්පු කරන්න දරන වෑයම ඒ ගැන අපේ උන් උජාරුවට බලන් ඉන්න තරම් අමාරුම නෑ
45,රට වනසන මාලීමා බත් බැලයෝ
46,මරැ කතාව සිංහලට වඩා දෙමළ මිනිසුන් හරි එකමුතුයි
47,අවුරුදු ගාණක්
48,මේයා ඊලඟ පාර ලංකාවේ කොහෙන් ඉල්ලුවත් දිනුම්
49,තනි ගේම
50,අර්චුනා කියන්නේ ඉතින් බුලට් එකක් තමයිමෙ කියන දෙවල් විමර්ශනය කල් යුතුයිසෙල්ලන් නෙමේ හොදේ
51,සුපිරි කතාව විපක්ෂ නායකයා වෙන්න ඕනේ ජයවේවා
52,ගම්මන්පිලයගෙ මල්ලි
53,අර්ජුනා සහ ගම්මන්පිල මේ දෙන්නා කියන්නේ මොනවද කියලා සොයා බලන්න පුළුවන්නේ ආන්ඩූවට බලේ තියනවනේ ජනාධිපතිගේ ඉදල මරනා දාර සමිතියේ දායක සභාවේ තියන සමිති වලට යනකම්ම තියන බලේ පාවිච්චි නීතිය ක්රියාත්මක කරන්න පුළුවන්නේ නැත්තම් දෙන්න කියන ඇත්ත නැත්ත සොයා ඇත්තනම් ඒවට නීතිය ක්රියාත්මක කරන දෙන්නට බැණ බැණ ඉන්න කොට අවුරුදු ඉවරයි ගහපු බේරේකුත් නෑ බේරේ පලූවකුනෑ අන්තිමට
54,මෙතුමාට උදවු කරන්න ඕන මැතිතුමකි
55,මුගේ තාත්තා මැරෙද්දී නාමල් ඉපදිලත් නෑ
56,උඹ හරි
57,ප්රභා යුද්දෙන් කරගන්න හදපු දේ ඩයස්පෝරා උන් චන්දෙන් කලා බං උන්ට දැන් කෙලින් කපන්න ඕනෙ නෑ උන්ට ඕනෙ දේ තමා රටේ වෙන්නෙ නියම කොටිය තමා රජ වුනේ
58,අර්චුනා ඔබට ජය
59,මූ සිංහලෙන් කතා කරන විට සිංහල ජනතාවගේ හිත දිනාගන්න ආකාරයට කතා කරන්නේ දෙමලෙන් කතා කරන කොට සිංහලෙන්ට බලු විදිහට බැන වැදී දෙමළ ජනතාව සතුටු වෙන්න පොඩි චූන් එකක් දෙන්නේ මූ ඇවිත් ඩබල් ගේම් ගහන්න පොරක්
60,උබ නෑවිත් හිටපන්
61,ඩය්ස් පොරා මුදල් වලින් හරි රට බේරගන්නෙනනේ මාලිමවට ජන්දේ දුන්නේ අපි මාලිමවට විතරයි
62,උඹ ගැන දුකයි
63,මෙ මුනුස්සයා කතා කරන කොට වෙලාව ඉවරයි කියනව හැමදාම කතා කරන්න දෙන්නෙ නැ
64,මෙ කතා සේරම ඇත්ත කියන්නෙ
65,දෙමල පකො තොපි රගන්න එපා පාඩුවේ හිටපන් හරි
66,පිල්ලෙයාන් ජාතික වීරයෙක් කියපු උන්ට ප්රභාකරන් කියන තුච්ච මෙලෙජ්ජ ත්රස්තවාදියාට මගේ නායකයා මගේ තාත්තා කියන අර්ජුනාත් ජාතික වීරයෙක් කියල කියන තත්වයක් තියෙන්නෙ මේකෙ සිංහලයාගෙ බැලුවහමරටේ ජනතාවගෙන් තුනෙන් දෙකක් කැමැත්තෙන් පත්කරගත් අවුරුදු විසිපහක් තිහක් සක්රීය දේශපාලනය කරපු රටේ සිංහල නායකයට වඩා අළු ගසල ඊයෙ පෙරේද කැලෙන් එළියට ආපු ප්රභාකරන්ගෙ පිල්ලිය කියන කරන ඒව මුන්ට විස්වාසයි වෙලාවට ඒ අලුගොසුව පරලොව යැව්වේ නැත්නම් අපේ උන්ම කියයි ඌට ඇවිත් රට බාරගන්න කියල
67,මුන් අනිවාර්යයෙන් පාර්ලිමේන්තුවේ ඉන්න ඕන චරිත
68,අර්ජුනා මේ කියන දේ ඇත්ත ද
69,දුමක් නගින්නෙත් ඉතින් ඒ අස්සේ ගින්නක් තියනවා නම් නේ
70,මෙයා දෙමලෙන් කරන කතා වල සිංහට පරිවර්තනය කරලා දන්න ඕනේමු සිංහලෙන් ඔහොම කතා කරාට දෙමලෙන් මු ජාතිවදේමයි අව්ස්සන්නේ දවමලෙන් කිව්වම සිංහල අයට තේරෙන් නැ කියලා හිතල
71,රටේ ලොකු එවුන් කරන්නේ ඒකම තමා
72,ජයවේවා අර්ජුන්
73,කාලකන්නි කොටි
74,මු සිංහලෙන් හොද ම්නිහ වගේ කතා කරලා දෙමළ බෂාවෙන් මුගේ හිතේ ඉන්න ඇත්ත කෙනා එලියට දාල ජාතිවදේ කතා කරනවා මු කොටියා තමයි
75,අවදානෙ ඉල්ලන බඩුවක්
76,දෙමල උනත් ඔබෙ කතාව ට අපි ගෞරවය දෙනවාඇත්ත ඡය ගන්නවාමෙ වන්චාකාරි ආන්ඩුව ට මොකද කරන්නේ
77,සිංහලෙන් හොද ම්නිහ වගේ කතා කරලා දෙමළ බෂාවෙන් මුගේ හිතේ ඉන්න ඇත්ත කෙනා එලියට දාල ජාතිවදේ කතා කරනවා මු කොටියා තමයි
78,මෙයා ගේ පිටින් දකින කතාව නෙමේ තියෙන්නේ මිනිස්සු අතර ප්රසිද්ධ වෙන්න මාරු ගේමක් ගැහුවේ මුල ඉඳන් පිස්සෙක් වගේ රඟපාලා මුන් තමා නියම ගේම් කරයෝ
79,අර්චුනාසිංහල මිනිස්සු කියන්නෙ කරුණාවන්ත සංග්රහශීලි සහ මිත්රශීලී මිනිස්සු කොටසක් නමුත් ඵක් ඵක් අයගේ අවශ්යතාවයන් අනුව සහ සමාජ විශමතාවයන් හේතු කොට ගෙන සිංහල අපට ලැජ්ජා හිතෙන විදියට සිංහල මිනිස්සු වෙනස් වෙලා හැබැයි ඒ සුළුතරයක් බහුතරයක් තාමත් ඉතාම යහපත් නාමල් වත් නාමල් ගේ තාත්තා වත් ඔයාගෙ තාත්තා මාරුවේ නැහැ දෙමළ මිනිසුන් සමඟ සිංහලයාට ප්රශ්නයක් නැහැ නමුත් ත්රස්තවාදීන් සහ ත්රස්ත ක්රියාවන් නිමාවට පත් කල යුතුව තිබුන ඵයයි සත්ය වෛරය පසෙකලා සංසුන්ව සිංහල මිනිසුන් ඇසුරු කරන්න ඔබට සත්ය කරුණු වැටහේවි ඔබගේ බිරිඳ සිංහල කාන්තාවක් බව මා අසා තිබෙනවා ඵය එසේනම් ඒ පිලිබඳවත් කතා කරන්න
80,ඌට අමුතුවෙන් ලොකෙ ගැන කියලා දෙන්න දෙයක් නෑඌ ගහන්නෙ එකක් ප්ලෑන් එකකට
81,මේවගේ ඇත්තක් ඇති සමහර විට
82,අමු හෙළුවෙන්
83,අපි කියපුවා මාලිමා වහල්ලු පිලිගත්තේ නෑනේ දැන් අහගනිල්ලා අනුරයාගේ ඩයස්පෝරාවා එක්ක තියෙන ඩීල්
